Timestamp,Umidade,Temp1,Temp2
2025/11/24 18:53:43;68,00;20,53;20,07
2025/11/24 18:58:45;64,00;20,04;21,05
2025/11/24 19:03:47;63,00;20,53;20,07
2025/11/24 19:08:49;62,00;20,53;20,07
2025/11/24 19:13:51;56,00;20,53;20,07
2025/11/24 19:18:53;58,00;20,04;19,58
2025/11/24 19:23:54;57,00;20,04;19,58
2025/11/24 19:28:56;55,00;20,04;19,10
2025/11/24 19:33:58;56,00;20,04;19,10
2025/11/24 19:38:30;57,00;20,04;19,10
2025/11/24 19:43:32;56,00;20,04;19,10
2025/11/24 19:48:34;54,00;19,55;19,10
2025/11/24 19:53:36;53,00;19,55;19,10
2025/11/24 19:58:38;51,00;19,55;18,61
2025/11/24 20:03:40;51,00;19,55;19,10
2025/11/24 20:08:42;48,00;19,55;19,10
2025/11/24 20:13:44;50,00;19,55;18,61
2025/11/24 20:18:46;49,00;19,55;18,61
2025/11/24 20:23:48;48,00;19,55;18,61
2025/11/24 20:28:50;48,00;19,55;18,61
2025/11/24 20:33:52;47,00;19,06;18,61
2025/11/24 20:38:54;47,00;19,06;18,61
2025/11/24 20:43:57;47,00;19,06;18,61
2025/11/24 20:48:59;47,00;19,06;18,61
2025/11/24 20:53:31;46,00;19,06;18,61
2025/11/24 20:58:33;46,00;19,06;18,12
2025/11/24 21:03:35;46,00;19,06;18,12
2025/11/24 21:08:37;46,00;19,06;18,12
2025/11/24 21:13:39;46,00;19,06;18,12
2025/11/24 21:18:41;45,00;19,06;18,12
2025/11/24 21:23:43;45,00;19,06;18,12
2025/11/24 21:28:45;45,00;19,06;18,12
2025/11/24 21:33:47;44,00;19,06;18,12
2025/11/24 21:38:49;45,00;19,06;18,61
2025/11/24 21:43:51;44,00;19,06;18,61
2025/11/24 21:48:53;44,00;19,06;18,61
2025/11/24 21:53:56;43,00;19,06;18,61
2025/11/24 21:58:58;44,00;19,06;18,61
2025/11/24 22:03:30;42,00;19,06;18,61
2025/11/24 22:08:32;42,00;19,06;18,61
2025/11/24 22:13:34;43,00;19,06;18,61
2025/11/24 22:18:36;43,00;19,06;18,61
2025/11/24 22:23:38;43,00;19,55;18,61
2025/11/24 22:28:40;43,00;19,06;18,61
2025/11/24 22:33:42;41,00;19,06;18,61
2025/11/24 22:38:44;43,00;19,06;18,61
