Timestamp,Umidade,Temp1,Temp2
2025/12/05 12:20:55;74,00;33,24;36,69
2025/12/05 12:25:56;75,00;34,21;36,69
2025/12/05 12:40:34;76,00;34,70;37,18
2025/12/05 12:45:35;76,00;34,21;36,69
2025/12/05 12:50:36;77,00;33,72;36,20
2025/12/05 12:55:37;77,00;34,21;36,20
2025/12/05 13:00:38;77,00;34,21;36,69
2025/12/05 13:05:40;77,00;34,70;36,69
2025/12/05 13:10:41;77,00;34,70;36,69
2025/12/05 13:15:42;77,00;33,72;36,20
2025/12/05 13:20:43;77,00;32,75;34,74
2025/12/05 13:25:44;77,00;33,24;35,71
2025/12/05 13:30:45;76,00;31,28;32,78
2025/12/05 13:35:46;76,00;32,26;33,76
2025/12/05 13:40:47;76,00;31,28;32,78
2025/12/05 13:45:49;76,00;30,79;32,29
2025/12/05 13:50:50;76,00;33,72;36,20
2025/12/05 13:55:51;76,00;32,75;34,25
2025/12/05 14:00:52;76,00;35,19;37,67
2025/12/05 14:05:53;76,00;35,19;37,18
2025/12/05 14:10:54;76,00;34,21;37,18
2025/12/05 14:15:56;76,00;32,75;35,22
2025/12/05 14:20:57;76,00;31,28;33,27
2025/12/05 14:25:58;76,00;31,77;33,76
2025/12/05 14:30:59;76,00;33,24;35,22
2025/12/05 14:35:30;75,00;32,26;33,76
2025/12/05 14:40:31;75,00;30,79;32,29
2025/12/05 14:45:33;74,00;30,79;31,80
2025/12/05 14:50:34;74,00;32,26;34,25
2025/12/05 14:55:35;74,00;33,24;35,71
2025/12/05 15:00:36;74,00;31,28;32,78
2025/12/05 15:05:37;73,00;32,75;34,74
2025/12/05 15:10:39;74,00;34,70;37,67
2025/12/05 15:15:40;74,00;35,68;38,16
2025/12/05 15:20:41;74,00;33,72;35,71
2025/12/05 15:25:42;74,00;33,24;35,22
2025/12/05 15:30:43;74,00;34,70;37,67
2025/12/05 15:35:44;74,00;34,70;37,67
2025/12/05 15:40:46;74,00;35,68;39,13
2025/12/05 15:45:47;75,00;36,17;39,62
2025/12/05 15:50:48;74,00;36,17;39,62
2025/12/05 15:55:49;75,00;35,68;39,13
2025/12/05 16:00:50;75,00;36,17;40,11
2025/12/05 16:05:51;75,00;36,17;40,11
2025/12/05 16:10:53;75,00;36,66;40,60
2025/12/05 16:15:54;76,00;36,66;41,09
2025/12/05 16:20:55;76,00;36,66;40,60
2025/12/05 16:25:56;76,00;34,70;38,16
2025/12/05 16:30:57;75,00;34,21;37,18
2025/12/05 16:35:58;75,00;33,72;36,20
2025/12/05 16:45:31;74,00;32,26;34,25
2025/12/05 16:50:32;73,00;31,77;33,27
2025/12/05 16:55:33;73,00;31,28;32,78
2025/12/05 17:00:34;73,00;31,77;32,29
2025/12/05 17:05:36;72,00;31,28;31,80
2025/12/05 17:10:37;72,00;30,79;31,80
2025/12/05 17:15:38;71,00;30,79;31,31
2025/12/05 17:20:40;71,00;30,30;30,83
2025/12/05 17:25:41;71,00;30,30;30,34
2025/12/05 17:30:42;70,00;30,30;30,34
2025/12/05 17:35:43;70,00;29,81;29,85
2025/12/05 17:40:45;69,00;29,81;29,85
2025/12/05 17:45:46;69,00;30,30;30,34
2025/12/05 17:50:47;69,00;31,77;32,29
2025/12/05 17:55:48;69,00;32,75;32,29
2025/12/05 18:00:50;69,00;31,77;31,80
2025/12/05 18:05:51;69,00;30,30;30,34
2025/12/05 18:10:52;69,00;31,77;30,83
2025/12/05 18:15:54;68,00;30,79;30,83
2025/12/05 18:20:55;68,00;30,30;30,34
2025/12/05 18:25:56;67,00;30,30;29,85
2025/12/05 18:30:58;67,00;30,30;29,85
2025/12/05 18:35:59;66,00;29,81;29,85
2025/12/05 18:40:30;66,00;29,81;29,36
2025/12/05 18:45:31;66,00;29,81;29,36
2025/12/05 18:50:33;66,00;29,33;28,87
2025/12/05 18:55:34;65,00;29,33;28,87
2025/12/05 19:00:35;65,00;29,33;28,87
2025/12/05 19:05:37;65,00;28,84;28,38
2025/12/05 19:10:38;65,00;28,84;28,38
2025/12/05 19:15:39;64,00;28,35;27,89
2025/12/05 19:20:40;64,00;28,35;27,89
2025/12/05 19:25:42;64,00;28,35;27,40
2025/12/05 19:30:43;63,00;27,86;27,40
2025/12/05 19:35:44;63,00;27,86;26,92
2025/12/05 19:40:46;63,00;27,37;26,92
2025/12/05 19:45:47;63,00;27,37;26,92
2025/12/05 19:50:48;62,00;27,37;26,43
2025/12/05 19:55:50;62,00;26,88;26,43
2025/12/05 20:00:51;62,00;26,88;25,94
2025/12/05 20:05:53;62,00;26,39;25,45
2025/12/05 20:10:54;62,00;26,39;24,96
2025/12/05 20:15:56;61,00;25,90;24,96
2025/12/05 20:20:57;61,00;25,90;24,96
2025/12/05 20:25:58;61,00;25,42;24,96
2025/12/05 20:30:30;61,00;25,90;24,47
2025/12/05 20:35:31;61,00;25,42;23,98
2025/12/05 20:40:33;60,00;24,93;23,49
2025/12/05 20:45:34;60,00;24,44;23,49
2025/12/05 20:50:36;60,00;24,44;23,01
2025/12/05 20:55:37;60,00;24,44;23,01
2025/12/05 21:00:39;60,00;24,44;23,01
2025/12/05 21:05:40;60,00;24,44;23,01
2025/12/05 21:10:41;59,00;23,95;23,01
2025/12/05 21:15:43;59,00;23,95;23,01
2025/12/05 21:20:44;59,00;23,46;23,01
2025/12/05 21:25:46;59,00;23,95;23,01
2025/12/05 21:30:47;58,00;23,95;23,01
2025/12/05 21:35:49;58,00;24,44;23,01
2025/12/05 21:40:50;58,00;24,93;23,49
2025/12/05 21:45:52;58,00;24,93;23,98
2025/12/05 21:50:53;58,00;25,42;24,47
2025/12/05 21:55:55;58,00;25,90;24,96
2025/12/05 22:00:56;57,00;25,90;24,96
